"date","BAA","AAA","LTGOVTBD","GS20","CP3M","CPN3M","TB3MS","TB6MS","MVMTD027MNFRBDAL","real_rate_1month","real_rate_1year","real_rate_10year","ffr","TD_public","TD_frb","TD_foreign","TD_private","TD_foreign_split","TD_frb_split","DATE","GDP","TD_yield2","TD_yield5","TD_yield10","TD_yield20","HQM_yield2","HQM_yield5","HQM_yield10","HQM_yield20","TIPSF02","TIPSF03","TIPSF04","TIPSF05","TIPSF06","TIPSF07","TIPSF08","TIPSF09","TIPSF10","TIPSF11","TIPSF12","TIPSF13","TIPSF14","TIPSF15","TIPSF16","TIPSF17","TIPSF18","TIPSF19","TIPSF20","date_qtr_begin","qtr_end","TD_mkt_val","TD_yield","TB_yield","CP_yield","AAA_yield","BAA_yield","AAA_TD_spread","BAA_TD_spread","CP_TB_spread","log_treasury","log_gdp","hqm_TD_spread2","hqm_TD_spread5","hqm_TD_spread10","hqm_TD_spread20","d_ffr","d_TB_yield","d_TD_yield","d_AAA_yield","d_BAA_yield","d_TIPSF02","d_TIPSF03","d_TIPSF04","d_TIPSF05","d_TIPSF06","d_TIPSF07","d_TIPSF08","d_TIPSF09","d_TIPSF10","d_TIPSF11","d_TIPSF12","d_TIPSF13","d_TIPSF14","d_TIPSF15","d_TIPSF16","d_TIPSF17","d_TIPSF18","d_TIPSF19","d_TIPSF20","d_AAA_TD_spread","d_BAA_TD_spread","d_CP_TB_spread","d_real_rate_1month","d_real_rate_1year","d_real_rate_10year","d_hqm_TD_spread2","d_hqm_TD_spread5","d_hqm_TD_spread10","d_hqm_TD_spread20","d_log_gdp","d_log_treasury","liquid_effective_leverage_agg","liquid_effective_leverage_avg","effective_leverage_agg","effective_leverage_avg"
2013-07-01,5.40333333333333,4.50666666666667,NA,3.44333333333333,NA,0.0933333333333333,0.0333333333333333,0.06,11933.9333333333,-1.6230077,-1.03265036666667,0.5207614,0.0833333333333333,11980978,2072300,5652800,9904000,0.471814571398095,0.17296584636079,2013-07-01,16911.068,0.404,1.596,2.8095,3.526,1,2.5,4.18,5.12,-0.650495008006692,-0.0464850004762411,0.522619999200106,0.994110000133514,1.35985501408577,1.6321850001812,1.82859501242638,1.96582500338554,2.05772001743317,2.11520499587059,2.14660000801086,2.1582150042057,2.15486999750137,2.14024500846863,2.11727502346039,2.08835499882698,2.05539500117302,2.02001997232437,1.98362000584602,2013-07-01,TRUE,4239.16681315999,3.44333333333333,0.0333333333333333,0.0933333333333333,4.50666666666667,5.40333333333333,1.06333333333333,1.96,0.06,8.35212202258591,9.73572359779299,0.596,0.904,1.3705,1.594,-0.0333333333333333,-0.0166666666666667,0.66,0.543333333333333,0.566666666666666,0.286254988238215,0.530949995364063,0.655134996026754,0.676154996873811,0.629755023121835,0.549199995398523,0.458865007758141,0.374095004796982,0.302975016832352,0.248514980077744,0.210590004920961,0.187275016307831,0.17596000432968,0.173754984140395,0.178115028142929,0.186854994297029,0.198220002651216,0.210969966650009,0.224270004034044,-0.116666666666667,-0.0933333333333337,0.00333333333333333,-0.872396533333333,-0.376958733333333,0.459397833333333,-0.0205,0.00749999999999984,-0.0695000000000006,-0.192,1.25864859771259,-4.26276089421425,2.89922478301936,6.32214429230724,4.19391181287321,7.18969709526794
2013-10-01,5.35666666666667,4.59333333333333,NA,3.50333333333333,NA,0.0966666666666667,0.0633333333333333,0.0933333333333333,12104.2666666667,-1.4902922,-1.33583116666667,0.466969,0.0866666666666667,12355194,2208800,5792600,10146600,0.468839259019324,0.178775015592633,2013-10-01,17133.114,0.34,1.57619047619048,2.90190476190476,3.62666666666667,0.84,2.32,4.08,5.07,-0.826142864567893,-0.0366238078900746,0.668352378266198,1.21172380447388,1.60477143242246,1.8796619063332,2.06722379866101,2.19154760951088,2.27012379964193,2.31524288086664,2.33546665736607,2.33688569068909,2.32388571330479,2.29975715137663,2.26697144054231,2.22754762286232,2.18310475349426,2.13503332365127,2.08445239067078,2013-10-01,TRUE,4265.37078962365,3.50333333333333,0.0633333333333333,0.0966666666666667,4.59333333333333,5.35666666666667,1.09,1.85333333333333,0.0333333333333333,8.35828439392502,9.74876836113679,0.5,0.743809523809524,1.17809523809524,1.44333333333333,0.00333333333333334,0.03,0.0600000000000001,0.0866666666666669,-0.0466666666666669,-0.175647856561201,0.00986119258616649,0.145732379066093,0.217613804340362,0.244916418336686,0.247476906151998,0.238628786234629,0.225722606125333,0.212403782208761,0.200037884996051,0.188866649355206,0.178670686483381,0.16901571580342,0.159512142908006,0.149696417081924,0.139192624035337,0.127709752321242,0.115013351326898,0.100832384824753,0.0266666666666668,-0.106666666666667,-0.0266666666666667,0.1327155,-0.3031808,-0.0537924,-0.096,-0.160190476190476,-0.192404761904762,-0.150666666666667,1.30447633437996,0.61623713391068,2.75345431982529,6.07827755026451,3.85466833539748,6.94527325205731
2014-01-01,5.11666666666667,4.44,NA,3.41666666666667,NA,0.0966666666666667,0.0466666666666667,0.0766666666666667,12370.2333333333,-1.1789174,-1.20694756666667,0.5899224,0.0733333333333333,12643201,2614600,5948300,10299700,0.470474209814429,0.206798895311401,2014-01-01,17144.281,0.399047619047619,1.63952380952381,2.72333333333333,3.34666666666667,0.83,2.26,3.78,4.78,-0.60723808833531,0.0482285729043984,0.577352379049574,0.997514284792401,1.32426668348766,1.57150476887113,1.75163810593741,1.87572856176467,1.95358572119758,1.9939523765019,2.00458094619569,1.99236190886725,1.96330000673022,1.92277144250416,1.87545238790058,1.82546665554955,1.77636667660304,1.73127142020634,1.6928904737745,2014-01-01,TRUE,3992.20699253562,3.41666666666667,0.0466666666666667,0.0966666666666667,4.44,5.11666666666667,1.02333333333333,1.7,0.05,8.29209948792468,9.74941992759305,0.430952380952381,0.62047619047619,1.05666666666667,1.43333333333333,-0.0133333333333333,-0.0166666666666667,-0.0866666666666669,-0.153333333333333,-0.24,0.218904776232583,0.084852380794473,-0.0909999992166246,-0.214209519681476,-0.280504748934791,-0.308157137462071,-0.315585692723592,-0.315819047746206,-0.316538078444345,-0.32129050436474,-0.330885711170377,-0.34452378182184,-0.360585706574576,-0.376985708872476,-0.391519052641733,-0.402080967312769,-0.406738076891217,-0.403761903444926,-0.391561916896275,-0.0666666666666664,-0.153333333333333,0.0166666666666667,0.3113748,0.1288836,0.1229534,-0.069047619047619,-0.123333333333334,-0.121428571428571,-0.0100000000000002,0.0651566456264518,-6.61849060003465,2.69107165209463,6.08903062417022,3.7684315593605,6.96199871179106
2014-04-01,4.82,4.21666666666667,NA,3.18,NA,0.1,0.0333333333333333,0.0533333333333333,12458.9,-1.59023283333333,-1.34408716666667,0.6512019,0.0933333333333333,12572021,2705900,6018700,10171600,0.478737666760181,0.215231902651133,2014-04-01,17462.703,0.452380952380952,1.67904761904762,2.59857142857143,3.15333333333333,0.88,2.22,3.6,4.58,-0.553471430426552,0.0352333340394709,0.48495713585899,0.825038095315297,1.07877142656417,1.26485714458284,1.39819999535879,1.49069999513172,1.55185714222136,1.5892904656274,1.60899525029319,1.61572380860647,1.61322381382897,1.6044666710354,1.59169999190739,1.57666189329965,1.56068094571431,1.54475714479174,1.52955715429215,2014-04-01,TRUE,3812.80253166138,3.18,0.0333333333333333,0.1,4.21666666666667,4.82,1.03666666666667,1.64,0.0666666666666667,8.24611977033434,9.76782262840817,0.427619047619048,0.540952380952381,1.00142857142857,1.42666666666667,0.02,-0.0133333333333333,-0.236666666666666,-0.223333333333334,-0.296666666666666,0.0537666579087576,-0.0129952388649275,-0.0923952431905837,-0.172476189477103,-0.245495256923494,-0.306647624288287,-0.353438110578628,-0.385028566632951,-0.401728578976222,-0.404661910874504,-0.395585695902505,-0.376638100260779,-0.350076192901248,-0.318304771468753,-0.283752395993187,-0.248804762249901,-0.215685730888731,-0.186514275414603,-0.163333319482349,0.0133333333333328,-0.0599999999999996,0.0166666666666667,-0.411315433333333,-0.1371396,0.0612795,-0.0033333333333333,-0.0795238095238089,-0.0552380952380953,-0.00666666666666682,1.84027008151197,-4.59797175903383,2.79876856803283,6.29005746210067,4.28235890226709,7.43230517950232
2014-07-01,4.74,4.11666666666667,NA,3.00666666666667,NA,0.103333333333333,0.0266666666666667,0.05,12640.3,-2.26633506666667,-1.6918316,0.607086866666667,0.09,12784809,2767300,6069200,10333200,0.474719645792127,0.216452197291332,2014-07-01,17743.227,0.566666666666667,1.77380952380952,2.53428571428571,3.01333333333333,1.08,2.37,3.59,4.55,-0.133347618127508,0.30084761799801,0.622309520131066,0.858133327393305,1.02930951402301,1.15201905511674,1.23873808270409,1.29891904762813,1.33978094941094,1.36667618297395,1.38365237485795,1.39360000405993,1.39868570509411,1.40035714989617,1.39967142400288,1.39732857545217,1.39375238759177,1.38917618706113,1.38373333499545,2014-07-01,TRUE,3903.68055187215,3.00666666666667,0.0266666666666667,0.103333333333333,4.11666666666667,4.74,1.11,1.73333333333333,0.0766666666666667,8.26967511833264,9.78375914461957,0.513333333333333,0.596190476190476,1.05571428571429,1.53666666666667,-0.00333333333333334,-0.00666666666666667,-0.173333333333334,-0.0999999999999996,-0.0800000000000001,0.420123812299044,0.265614283958539,0.137352384272076,0.0330952320780071,-0.0494619125411615,-0.112838089466095,-0.159461912654696,-0.19178094750359,-0.212076192810422,-0.222614282653445,-0.22534287543524,-0.222123804546538,-0.214538108734856,-0.204109521139236,-0.192028567904518,-0.179333317847478,-0.166928558122544,-0.155580957730612,-0.145823819296701,0.0733333333333341,0.0933333333333337,0.00999999999999998,-0.676102233333333,-0.347744433333333,-0.0441150333333333,0.0857142857142858,0.0552380952380951,0.0542857142857143,0.11,1.59365162113971,2.35553479983075,2.82367967853252,6.35371366751452,4.38129876128698,7.31253285489696
2014-10-01,4.74,3.87666666666667,NA,2.69333333333333,NA,0.11,0.0233333333333333,0.0766666666666667,12940.4,-1.3527412,-1.3210928,0.599663466666667,0.1,13023818,2793400,6157700,10562600,0.472802982965517,0.214483955472965,2014-10-01,17852.54,0.635454545454545,1.64,2.20727272727273,2.55045454545455,1.22,2.34,3.42,4.34,-0.00342272719453002,0.475918183272535,0.649777272885496,0.747050003571944,0.822345451875166,0.886254546317187,0.940668181939559,0.986168173226443,1.0233272720467,1.05287272008983,1.07560454986312,1.092345462604,1.10392272472382,1.11114090681076,1.11470454389399,1.11534089933742,1.11363636092706,1.11017273501916,1.10549091209065,2014-10-01,TRUE,4046.63210183066,2.69333333333333,0.0233333333333333,0.11,3.87666666666667,4.74,1.18333333333333,2.04666666666667,0.0866666666666667,8.3056402343514,9.78990107400331,0.584545454545454,0.7,1.21272727272727,1.78954545454545,0.01,-0.00333333333333333,-0.313333333333333,-0.240000000000001,0,0.129924890932978,0.175070565274526,0.0274677527544303,-0.111083323821361,-0.206964062147843,-0.265764508799556,-0.29806990076453,-0.312750874401688,-0.316453677364242,-0.313803462884128,-0.308047824994826,-0.301254541455926,-0.294762980370297,-0.289216243085405,-0.284966880108888,-0.281987676114748,-0.280116026664708,-0.279003452041965,-0.278242422904803,0.0733333333333324,0.313333333333333,0.01,0.913593866666667,0.3707388,-0.00742339999999997,0.0712121212121211,0.103809523809524,0.157012987012987,0.252878787878788,0.614192938373925,3.59651160187582,2.74652782481802,6.39812699974857,4.22768073541679,7.44359980897473
2015-01-01,4.5,3.57,NA,2.31666666666667,NA,0.116666666666667,0.0266666666666667,0.0866666666666667,13249.9666666667,2.4991932,1.19416466666667,0.6666762,0.11,13090183,2797500,6172600,10630800,0.471544209886141,0.213709770138431,2015-01-01,17991.348,0.640454545454545,1.51909090909091,2.04272727272727,2.40681818181818,1.16,2.14,3.25,4.11,-0.211081818656319,0.145018181424927,0.400659091770649,0.584304544058713,0.716495462439277,0.811963634057478,0.881190906871449,0.931654545393857,0.968536363406615,0.995509090748699,1.01504545049234,1.02886817130175,1.03807271881537,1.04343636198477,1.04541818662123,1.04434090852737,1.04039545492692,1.0337136333639,1.02436816963282,2015-01-01,TRUE,4170.37427314041,2.31666666666667,0.0266666666666667,0.116666666666667,3.57,4.5,1.25333333333333,2.18333333333333,0.09,8.33576106451592,9.79764625465438,0.519545454545454,0.620909090909091,1.20727272727273,1.70318181818182,0.01,0.00333333333333333,-0.376666666666666,-0.306666666666667,-0.24,-0.207659091461789,-0.330900001847609,-0.249118181114847,-0.162745459513231,-0.10584998943589,-0.074290912259709,-0.0594772750681101,-0.0545136278325864,-0.0547909086400817,-0.0573636293411267,-0.0605590993707841,-0.063477291302247,-0.0658500059084453,-0.0677045448259881,-0.0692863572727547,-0.0709999908100476,-0.0732409060001373,-0.0764591016552665,-0.0811227424578236,0.0699999999999998,0.136666666666666,0.00333333333333333,3.8519344,2.51525746666667,0.0670127333333332,-0.0650000000000001,-0.0790909090909089,-0.00545454545454538,-0.086363636363636,0.774518065107443,3.01208301645168,2.85491554509672,5.72700562525702,4.40395163661655,6.51771009024183
2015-04-01,4.83333333333333,3.89666666666667,NA,2.62333333333333,NA,0.12,0.02,0.0866666666666667,13187.0333333333,-1.22343656666667,-1.00139056666667,0.499340566666667,0.123333333333333,13075036,2798500,6163100,10615500,0.471363902936864,0.214033827516804,2015-04-01,18193.707,0.688636363636364,1.68363636363636,2.36363636363636,2.84545454545455,1.33,2.47,3.72,4.7,-0.0990045453125441,0.316954542967406,0.62183636833321,0.845395448532972,1.00958636944944,1.13065909526565,1.2205909111283,1.28809091719714,1.33954544500871,1.37951363758607,1.41134090315212,1.43734089894728,1.45918635346673,1.47802726247094,1.49464544382962,1.50959090753035,1.5231727307493,1.53567726503719,1.54719545624473,2015-04-01,TRUE,4148.6706152498,2.62333333333333,0.02,0.12,3.89666666666667,4.83333333333333,1.27333333333333,2.21,0.1,8.33054322823221,9.80883104404215,0.641363636363636,0.786363636363637,1.35636363636364,1.85454545454545,0.0133333333333333,-0.00666666666666666,0.306666666666667,0.326666666666667,0.333333333333333,0.112077273343774,0.171936361542479,0.221177276562561,0.261090904474259,0.293090907010165,0.318695461208171,0.339400004256855,0.356436371803284,0.371009081602096,0.384004546837374,0.396295452659781,0.408472727645527,0.421113634651358,0.434590900486166,0.449227257208392,0.465249999002977,0.482777275822379,0.501963631673293,0.522827286611904,0.0200000000000005,0.0266666666666664,0.01,-3.72262976666667,-2.19555523333333,-0.167335633333333,0.121818181818182,0.165454545454546,0.149090909090909,0.151363636363636,1.1184789387773,-0.521783628371253,2.79524629474374,5.55736640112336,4.23851933835726,6.36784671629827
2015-07-01,5.24333333333333,4.08666666666667,NA,2.64666666666667,NA,0.176666666666667,0.04,0.173333333333333,13341.5666666667,-1.81270686666667,-1.43790663333333,0.5759468,0.136666666666667,13123756,2802100,6105900,10661900,0.465255525933277,0.213513570352878,2015-07-01,18306.96,0.713333333333333,1.49,2.17285714285714,2.61809523809524,1.48,2.48,3.72,4.63,-0.227766664964812,0.295252381336121,0.697733342647552,0.944628570761,1.09009523051126,1.1812618970871,1.24595237913586,1.29825714088622,1.34445238681066,1.38703333196186,1.42678571882702,1.46386190255483,1.49823333535876,1.52982380844298,1.55865238961719,1.58478094282605,1.60831904978979,1.6294237999689,1.64827620983124,2015-07-01,TRUE,4285.72351729185,2.64666666666667,0.04,0.176666666666667,4.08666666666667,5.24333333333333,1.44,2.59666666666667,0.136666666666667,8.36304466562142,9.81503659439205,0.766666666666667,0.99,1.54714285714286,2.01190476190476,0.0133333333333333,0.02,0.023333333333333,0.19,0.41,-0.128762119652268,-0.0217021616312848,0.0758969743143427,0.0992331222280279,0.0805088610618154,0.0506028018214473,0.0253614680075556,0.0101662236890749,0.00490694180195383,0.00751969437578581,0.0154448156749014,0.0265210036075478,0.0390469818920276,0.0517965459720384,0.0640069457875696,0.0751900352956936,0.0851463190404886,0.0937465349317119,0.101080753586509,0.166666666666667,0.386666666666667,0.0366666666666667,-0.5892703,-0.436516066666667,0.0766062333333333,0.12530303030303,0.203636363636363,0.190779220779221,0.157359307359307,0.620555034989856,3.25014373892163,3.04562553917984,5.67737943593393,4.6178434991999,6.48511726967906
2015-10-01,5.42,3.99333333333333,NA,2.6,NA,0.246666666666667,0.123333333333333,0.306666666666667,13446.8333333333,-0.513984166666667,-0.771734933333333,0.6141332,0.16,13699868,2810100,6146200,11211000,0.448632059812547,0.205118764647951,2015-10-01,18332.079,0.982727272727273,1.69863636363636,2.24272727272727,2.60727272727273,1.69,2.49,3.72,4.61,0.20525000072931,0.597640904513272,0.844809087839994,0.995459098707547,1.09844092076475,1.17921363223683,1.24855000864376,1.31033182686026,1.36571819132025,1.41504091566259,1.45839998938821,1.49598181789571,1.5280408967625,1.55494546348398,1.57709090818058,1.59492727843198,1.6089045567946,1.61949545686895,1.62710454247215,2015-10-01,TRUE,4655.95495528375,2.6,0.123333333333333,0.246666666666667,3.99333333333333,5.42,1.39333333333333,2.82,0.123333333333333,8.44590231481202,9.81640775502405,0.707272727272727,0.791363636363636,1.47727272727273,2.00272727272727,0.0233333333333333,0.0833333333333333,-0.0466666666666664,-0.0933333333333337,0.176666666666667,0.433016665694122,0.302388523177151,0.147075745192441,0.050830527946547,0.00834569025349285,-0.00204826485026999,0.0025976295078991,0.0120746859740393,0.021265804509581,0.0280075837007332,0.0316142705611855,0.0321199153408853,0.0298075614037456,0.0251216550410065,0.0184385185633895,0.0101463356059337,0.000585507004808639,-0.00992834309994906,-0.0211716673590912,-0.0466666666666673,0.223333333333333,-0.0133333333333333,1.2987227,0.6661717,0.0381864,-0.0593939393939394,-0.198636363636363,-0.0698701298701296,-0.00917748917748895,0.137116063199727,8.28576491905935,3.12024698693222,5.58423642258222,4.59239115997859,6.40936815180171
2016-01-01,5.30666666666667,3.92666666666667,NA,2.32333333333333,NA,0.47,0.286666666666667,0.443333333333333,13921.5,0.308194566666667,-0.293398233333333,0.608217133333333,0.36,13929762,2815300,6284400,11463600,0.451149129468257,0.20210682709439,2016-01-01,18425.306,0.875,1.37590909090909,1.88909090909091,2.27590909090909,1.61,2.21,3.46,4.43,-0.111827272159809,0.210845453706993,0.445581818168813,0.629368190060962,0.782390908761458,0.915222726084969,1.03321818330071,1.13889546827836,1.23317272554744,1.31621361862529,1.38783180713654,1.44770455902273,1.49555453929034,1.53113635019822,1.5542999939485,1.5650272694501,1.56339545141567,1.5495863773606,1.52387272769755,2016-01-01,TRUE,4827.19720071312,2.32333333333333,0.286666666666667,0.47,3.92666666666667,5.30666666666667,1.60333333333333,2.98333333333333,0.183333333333333,8.48202128850595,9.82148032478937,0.735,0.834090909090909,1.57090909090909,2.15409090909091,0.2,0.163333333333333,-0.276666666666667,-0.0666666666666664,-0.113333333333333,-0.31707727288912,-0.386795450806279,-0.39922726967118,-0.366090908646584,-0.316050012003292,-0.263990906151858,-0.215331825343046,-0.171436358581891,-0.132545465772802,-0.0988272970372981,-0.0705681822516706,-0.048277258872985,-0.032486357472161,-0.0238091132857596,-0.0227909142320806,-0.0299000089818782,-0.0455091053789318,-0.0699090795083492,-0.103231814774601,0.21,0.163333333333334,0.06,0.822178733333333,0.4783367,-0.00591606666666666,0.0277272727272728,0.0427272727272725,0.0936363636363633,0.151363636363636,0.507256976531956,3.6118973693938,3.50341862672009,5.92215318314499,5.1855070371374,6.74236708330809
2016-04-01,4.66666666666667,3.59,NA,2.15,NA,0.483333333333333,0.256666666666667,0.393333333333333,14047.2,-0.8321112,-0.970971,0.426007,0.373333333333333,13937309,2819100,6279100,11470400,0.450524559654952,0.202270036489827,2016-04-01,18611.617,0.731363636363636,1.16636363636364,1.64409090909091,2.01909090909091,1.34,1.91,3.08,4.07,-0.265636364506049,-0.0128318179896186,0.218277271498333,0.422518181529912,0.600545457818291,0.752559090202505,0.879840905016119,0.984877274795012,1.07061817700213,1.13997727361592,1.19554090499878,1.23946817896583,1.27339544079521,1.29862726818431,1.31604090062055,1.32630452242765,1.32986363497647,1.32699090784246,1.31793182004582,2016-04-01,TRUE,4877.26374903505,2.15,0.256666666666667,0.483333333333333,3.59,4.66666666666667,1.44,2.51666666666667,0.226666666666667,8.4923396344272,9.83154123463116,0.608636363636364,0.743636363636364,1.43590909090909,2.05090909090909,0.0133333333333334,-0.03,-0.173333333333333,-0.336666666666667,-0.64,-0.15380909234624,-0.223677271696612,-0.22730454667048,-0.20685000853105,-0.181845450943167,-0.162663635882464,-0.153377278284593,-0.154018193483353,-0.162554548545317,-0.17623634500937,-0.192290902137755,-0.2082363800569,-0.222159098495135,-0.23250908201391,-0.238259093327955,-0.238722747022455,-0.233531816439196,-0.222595469518141,-0.205940907651727,-0.163333333333334,-0.466666666666666,0.0433333333333333,-1.14030576666667,-0.677572766666667,-0.182210133333333,-0.126363636363636,-0.0904545454545453,-0.135,-0.103181818181818,1.00609098417941,1.03183459212417,3.51370967110784,5.79011718246832,5.2391362757262,6.65557734783755
2016-07-01,4.25666666666667,3.33666666666667,NA,1.91,NA,0.496666666666667,0.296666666666667,0.43,14345.7666666667,-2.00376993333333,-1.7071256,0.2027529,0.396666666666667,14177750,2830100,6155900,11709900,0.434194424362117,0.19961559485814,2016-07-01,18775.459,0.770952380952381,1.17809523809524,1.63047619047619,2.0152380952381,1.39,1.87,2.99,3.93,-0.416266671248845,-0.0508999991801657,0.175785714316936,0.352428572518485,0.500095235449927,0.624428570270538,0.728242857115609,0.813604763575963,0.882476190725963,0.936542862937564,0.977404764720372,1.00645714430582,1.02503809474763,1.03433333124433,1.03541904687882,1.02925237871352,1.01676667020434,0.998766660690308,0.975947615646181,2016-07-01,TRUE,5253.27601993734,1.91,0.296666666666667,0.496666666666667,3.33666666666667,4.25666666666667,1.42666666666667,2.34666666666667,0.2,8.56660716477384,9.84030592373696,0.619047619047619,0.691904761904762,1.35952380952381,1.9147619047619,0.0233333333333333,0.0399999999999999,-0.24,-0.253333333333333,-0.41,-0.150630306742795,-0.0380681811905471,-0.0424915571813975,-0.0700896090114272,-0.100450222368364,-0.128130519931967,-0.15159804790051,-0.171272511219049,-0.188141986276165,-0.20343441067836,-0.218136140278408,-0.23301103466001,-0.248357346047571,-0.264293936939983,-0.280621853741731,-0.297052143714128,-0.313096964772129,-0.328224247152155,-0.341984204399638,-0.0133333333333334,-0.17,-0.0266666666666666,-1.17165873333333,-0.7361546,-0.2232541,0.0104112554112552,-0.0517316017316016,-0.0763852813852812,-0.136147186147186,0.876468910580108,7.42675303466456,3.4132267518505,5.56451928894674,4.98812394329542,6.33532601624389
2016-10-01,4.64,3.81,NA,2.51666666666667,NA,0.646666666666667,0.43,0.556666666666667,14234.5333333333,-2.55567423333333,-1.92900586666667,0.4456209,0.45,14439326,2843700,6006300,11971300,0.415968169151386,0.196941325377653,2016-10-01,18968.041,1.19666666666667,1.95904761904762,2.49190476190476,2.8352380952381,1.87,2.68,3.7,4.47,0.0199666663316921,0.403571429706755,0.704514287766956,0.936580953143892,1.11157142832166,1.23959046886081,1.32927143006098,1.38797142959776,1.42192856470744,1.43644762039185,1.43600952625275,1.42440476871672,1.4048000063215,1.37987619922275,1.35179999328795,1.32240952196576,1.29321428140005,1.26541904040745,1.24001428059169,2016-10-01,TRUE,5510.05270314325,2.51666666666667,0.43,0.646666666666667,3.81,4.64,1.29333333333333,2.12333333333333,0.216666666666667,8.61432946709999,9.85051078927812,0.673333333333333,0.720952380952381,1.20809523809524,1.6347619047619,0.0533333333333333,0.133333333333333,0.606666666666667,0.473333333333333,0.383333333333333,0.436233337580537,0.454471428886921,0.52872857345002,0.584152380625407,0.61147619287173,0.61516189859027,0.601028572945367,0.574366666021801,0.539452373981477,0.499904757454281,0.458604761532374,0.417947624410902,0.379761911573865,0.345542867978415,0.316380946409134,0.293157143252238,0.276447611195702,0.266652379717145,0.264066664945511,-0.133333333333334,-0.223333333333334,0.0166666666666666,-0.5519043,-0.221880266666667,0.242868,0.0542857142857144,0.0290476190476192,-0.151428571428571,-0.28,1.02048655411568,4.77223023261502,2.95983871373448,4.7189276279765,4.12883972502005,5.36586488781797
2017-01-01,4.66,3.96,NA,2.78,NA,0.813333333333333,0.59,0.706666666666667,14199.3,-1.1957577,-0.903823,0.805512,0.7,14374457,2859131,6075300,11905300,0.422645530192897,0.198903582931863,2017-01-01,19148.194,1.31304347826087,2.01347826086957,2.48173913043478,2.83173913043478,1.88,2.67,3.64,4.4,-0.0773739131653438,0.357073912154073,0.667052175687707,0.883304352345674,1.02980000817257,1.12507392012555,1.18351739904155,1.21614782706551,1.23143043207086,1.23571305689604,1.23381738040758,1.22923042981521,1.22452610471974,1.22151304846225,1.2214087040528,1.22496955291085,1.23265651516293,1.24463477860326,1.26088260049405,2017-01-01,TRUE,5373.73767800759,2.78,0.59,0.813333333333333,3.96,4.66,1.18,1.88,0.223333333333333,8.5892789748109,9.85996368206751,0.56695652173913,0.656521739130435,1.15826086956522,1.56826086956522,0.25,0.16,0.263333333333333,0.15,0.0200000000000005,-0.0973405794970359,-0.046497517552682,-0.0374621120792491,-0.0532766007982184,-0.0817714201490838,-0.114516548735263,-0.145754031019427,-0.171823602532254,-0.190498132636581,-0.200734563495801,-0.202192145845163,-0.195174338901512,-0.180273901601757,-0.1583631507605,-0.130391289235149,-0.0974399690549086,-0.0605577662371211,-0.0207842618041889,0.0208683199023616,-0.113333333333333,-0.243333333333333,0.00666666666666677,1.35991653333333,1.02518286666667,0.3598911,-0.106376811594203,-0.0644306418219465,-0.0498343685300209,-0.066501035196687,0.945289278938688,-2.5050492289088,2.97406522876656,4.78933577951973,4.15474825224351,5.40630175634748
2017-04-01,4.49666666666667,3.8,NA,2.63666666666667,NA,0.99,0.89,1.01333333333333,14282.9333333333,0.447113233333333,-0.0954206666666666,0.759424666666667,0.95,14370898,2864091,6151900,11901100,0.428080416408216,0.199297984022989,2017-04-01,19304.506,1.34227272727273,1.77409090909091,2.18681818181818,2.54,1.84,2.4,3.31,4.07,-0.0194909092493948,0.202686361968517,0.416222730820829,0.60236363790252,0.755845454606143,0.8779318170114,0.972595453262329,1.04459545829079,1.0985227227211,1.13839545575055,1.16756817427548,1.1887181780555,1.20394998246973,1.2149136337367,1.22282726114446,1.22867272658782,1.23313635587692,1.23679545250806,1.24002727595243,2017-04-01,TRUE,5322.12946520113,2.63666666666667,0.89,0.99,3.8,4.49666666666667,1.16333333333333,1.86,0.1,8.5796287776606,9.86809381914534,0.497727272727273,0.625909090909091,1.12318181818182,1.53,0.25,0.3,-0.143333333333333,-0.16,-0.163333333333333,0.057883003915949,-0.154387550185556,-0.250829444866878,-0.280940714443154,-0.273954553566431,-0.247142103114146,-0.21092194577922,-0.171552368774716,-0.132907709349756,-0.0973176011454935,-0.0662492061320994,-0.0405122517597059,-0.0205761222500094,-0.00659941472554926,0.00141855709166339,0.00370317367696926,0.000479840713996982,-0.00783932609520388,-0.0208553245416265,-0.0166666666666666,-0.02,-0.123333333333333,1.64287093333333,0.808402333333333,-0.0460873333333334,-0.0692292490118576,-0.030612648221344,-0.0350790513833994,-0.0382608695652173,0.81301370778295,-0.965019715030024,2.96024241297066,4.66889292811897,4.13318600234216,5.3085487991411
